,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hermanus,36,ZA,1536440593,93,-34.42,19.24,42.981799999999964,0.78
1,Sobolevo,44,RU,1536440593,85,54.43,31.9,58.01180000000005,1.33
2,Rikitea,64,PF,1536440594,100,-23.12,-134.97,73.22179999999997,7.28
3,George,20,NG,1536436800,94,6.63,3.35,76.99999999999994,1.0
4,Kapaa,40,US,1536436800,87,22.08,-159.32,82.93999999999988,5.1
5,East London,80,ZA,1536440595,100,-33.02,27.91,60.171799999999905,14.28
6,Quatre Cocos,40,MU,1536436800,73,-20.21,57.76,71.59999999999997,7.2
7,Aksarka,92,RU,1536440596,96,66.56,67.8,41.36180000000002,7.78
8,Ulaanbaatar,0,MN,1536440400,74,47.92,106.92,35.599999999999966,1.18
9,Bredasdorp,80,ZA,1536436800,81,-34.53,20.04,46.39999999999998,3.1
10,Albany,75,US,1536439860,44,42.65,-73.75,60.97999999999996,2.6
11,Riyadh,0,SA,1536436800,11,24.63,46.72,89.59999999999997,2.18
12,Mataura,12,NZ,1536440597,84,-46.19,168.86,39.561800000000005,1.28
13,San Quintin,68,PH,1536440597,97,17.54,120.52,72.23179999999996,1.28
14,Mahebourg,40,MU,1536436800,73,-20.41,57.7,71.59999999999997,7.2
15,Punta Arenas,40,CL,1536436800,88,-53.16,-70.91,46.39999999999998,11.3
16,Tiksi,92,RU,1536440599,100,71.64,128.87,36.77179999999993,3.23
17,Ribeira Grande,20,PT,1536436800,78,38.52,-28.7,76.99999999999994,1.5
18,Batticaloa,0,LK,1536440657,100,7.71,81.69,76.01180000000005,0.63
19,Northam,20,GB,1536438000,82,51.04,-4.21,58.99999999999994,2.6
20,Ushuaia,40,AR,1536436800,61,-54.81,-68.31,46.39999999999998,6.7
21,Grand Gaube,40,MU,1536436800,73,-20.01,57.66,71.59999999999997,7.2
22,Yellowknife,75,CA,1536436800,65,62.45,-114.38,44.599999999999966,7.7
23,Khatanga,88,RU,1536440601,92,71.98,102.47,35.15179999999998,3.88
24,Svobodnyy,36,RU,1536440601,74,53.85,40.53,54.501799999999946,1.23
25,Harper,75,US,1536437700,66,30.3,-99.24,78.97999999999996,2.6
26,Qaanaaq,0,GL,1536440602,100,77.48,-69.36,30.291800000000023,2.23
27,Fortuna,75,ES,1536438600,88,38.18,-1.13,75.19999999999999,1.0
28,Dikson,88,RU,1536440603,100,73.51,80.55,36.41180000000003,7.58
29,Port Elizabeth,90,US,1536440100,93,39.31,-74.98,69.07999999999998,5.7
30,Lebu,75,ET,1536436800,87,8.96,38.73,55.39999999999992,6.2
31,Cape Town,20,ZA,1536436800,81,-33.93,18.42,49.99999999999994,1.5
32,Hay River,90,CA,1536436800,81,60.82,-115.79,46.39999999999998,5.1
33,Nioki,8,CD,1536440604,98,-2.72,17.69,72.77179999999993,0.73
34,Jiwani,64,PK,1536440605,98,25.05,61.74,73.40179999999992,1.43
35,Awbari,0,LY,1536440605,22,26.59,12.77,75.83179999999999,2.68
36,Mar del Plata,12,AR,1536440605,38,-46.43,-67.52,57.02179999999993,4.53
37,Carnarvon,0,ZA,1536440605,83,-30.97,22.13,24.891800000000046,2.38
38,Bol,8,TD,1536440606,82,13.47,14.72,79.34179999999998,2.08
39,Ponta do Sol,0,BR,1536440606,41,-20.63,-46.0,73.6717999999999,1.33
40,Severo-Kurilsk,80,RU,1536440606,97,50.68,156.12,52.43180000000001,3.38
41,Columbus,75,US,1536438900,55,32.46,-84.99,91.76000000000005,2.1
42,Souillac,0,FR,1536438600,52,45.6,-0.6,69.80000000000001,1.68
43,Mata,75,CU,1536436200,45,22.63,-79.93,87.80000000000001,2.1
44,Busselton,92,AU,1536440608,97,-33.64,115.35,61.79180000000002,7.73
45,Shache,0,CN,1536440608,82,38.42,77.24,57.83179999999999,1.08
46,Joinville,40,BR,1536436800,77,-26.3,-48.85,67.99999999999994,4.1
47,Vanimo,48,PG,1536440609,100,-2.67,141.3,81.41180000000003,2.28
48,Erseke,0,AL,1536440609,91,40.34,20.68,56.391800000000046,0.73
49,Bonthe,100,SL,1536440609,99,7.53,-12.5,75.20179999999999,1.08
